zipcode,city,state,location_type,tax_returns_filed,population,total_wages,event_timestamp,created_timestamp
1463,PEPPERELL,MA,PRIMARY,5549,10100,310246738,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
80477,STEAMBOAT SPRINGS,CO,PRIMARY,4376,6952,196199680,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
19401,NORRISTOWN,PA,PRIMARY,17975,29398,593090218,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31028,CENTERVILLE,GA,PRIMARY,2791,5013,103348211,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
65802,SPRINGFIELD,MO,PRIMARY,18096,30388,484432932,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
45101,ABERDEEN,OH,PRIMARY,1001,1826,29504355,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
39356,ROSE HILL,MS,PRIMARY,319,583,9854530,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
79019,CLAUDE,TX,PRIMARY,790,1486,25573842,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
2322,AVON,MA,PRIMARY,2294,3831,98754584,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
74355,MIAMI,OK,PRIMARY,352,618,11028437,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
95658,NEWCASTLE,CA,PRIMARY,3092,5562,136983650,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
47036,OLDENBURG,IN,PRIMARY,558,984,21447674,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
65580,VICHY,MO,PRIMARY,365,665,9315944,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
8234,EGG HARBOR TOWNSHIP,NJ,PRIMARY,21001,37623,919724508,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
62671,NEW HOLLAND,IL,PRIMARY,280,498,8845843,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
77831,BEDIAS,TX,PRIMARY,1178,2191,34547649,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
77518,BACLIFF,TX,PRIMARY,3754,6825,123827585,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
84783,DAMMERON VALLEY,UT,PRIMARY,330,644,10937901,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
13090,LIVERPOOL,NY,PRIMARY,15076,26337,669746981,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
35674,TUSCUMBIA,AL,PRIMARY,7779,14316,238664103,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
51012,CHEROKEE,IA,PRIMARY,3217,5529,90168643,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
71935,CADDO GAP,AR,PRIMARY,271,527,5072844,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
18829,LE RAYSVILLE,PA,PRIMARY,370,673,10542911,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
54512,BOULDER JUNCTION,WI,PRIMARY,641,1080,12456566,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
46037,FISHERS,IN,PRIMARY,14420,29121,1109574040,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31301,ALLENHURST,GA,PRIMARY,1617,3025,43253409,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
23441,TASLEY,VA,PRIMARY,282,484,5249223,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
53532,DE FOREST,WI,PRIMARY,6637,12095,308509381,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
71007,BETHANY,LA,PRIMARY,521,909,16527337,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
31216,MACON,GA,PRIMARY,6918,12714,251849778,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
65264,MARTINSBURG,MO,PRIMARY,404,710,10992871,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
68781,TILDEN,NE,PRIMARY,678,1239,17490571,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
32780,TITUSVILLE,FL,PRIMARY,16101,27299,530363329,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
5905,GUILDHALL,VT,PRIMARY,325,584,9251932,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
38348,LAVINIA,TN,PRIMARY,410,757,11777928,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
78505,MCALLEN,TX,PRIMARY,902,1682,22515793,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
3894,WOLFEBORO,NH,PRIMARY,3113,5312,114608359,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
15363,STRABANE,PA,PRIMARY,433,709,10185876,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
39474,PRENTISS,MS,PRIMARY,2695,4780,63767399,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
14220,BUFFALO,NY,PRIMARY,11783,19047,369097924,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
56678,SOLWAY,MN,PRIMARY,541,1010,17871305,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
11726,COPIAGUE,NY,PRIMARY,10282,17101,360442098,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
60472,ROBBINS,IL,PRIMARY,2193,3628,42695628,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
40111,CLOVERPORT,KY,PRIMARY,588,1104,15394648,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
1801,WOBURN,MA,PRIMARY,20667,33608,978759571,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
15332,FINLEYVILLE,PA,PRIMARY,4295,7209,144526193,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
91309,CANOGA PARK,CA,PRIMARY,379,590,12803555,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
32362,WOODVILLE,FL,PRIMARY,563,951,15487000,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
55763,MAKINEN,MN,PRIMARY,272,469,8786552,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
97438,FALL CREEK,OR,PRIMARY,584,1032,20705230,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
6786,TERRYVILLE,CT,PRIMARY,4856,8443,210651428,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
95333,LE GRAND,CA,PRIMARY,1118,2167,29961304,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
29525,CLIO,SC,PRIMARY,966,1747,20933523,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
6105,HARTFORD,CT,PRIMARY,8233,12164,294308268,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
85658,MARANA,AZ,PRIMARY,2913,5442,143076605,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
48505,FLINT,MI,PRIMARY,9440,15571,121379263,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
51638,ESSEX,IA,PRIMARY,607,1118,18363054,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
51243,LITTLE ROCK,IA,PRIMARY,332,622,8558473,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
1061,NORTHAMPTON,MA,PRIMARY,331,423,10230348,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
70434,COVINGTON,LA,PRIMARY,1197,2050,35322862,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
7836,FLANDERS,NJ,PRIMARY,5629,10541,436195117,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
56132,GARVIN,MN,PRIMARY,259,477,7914548,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
11972,SPEONK,NY,PRIMARY,486,834,19114157,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
28480,WRIGHTSVILLE BEACH,NC,PRIMARY,1502,2209,67485629,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
10459,BRONX,NY,PRIMARY,17977,30434,414021653,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
27055,YADKINVILLE,NC,PRIMARY,6120,11454,195133931,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
35802,HUNTSVILLE,AL,PRIMARY,10852,18463,521820459,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
83217,BANCROFT,ID,PRIMARY,327,641,9211460,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
68649,NORTH BEND,NE,PRIMARY,830,1508,24530635,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
60004,ARLINGTON HEIGHTS,IL,PRIMARY,26586,46798,1560430403,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
97233,PORTLAND,OR,PRIMARY,14465,26032,388691435,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
58254,MCVILLE,ND,PRIMARY,271,447,5976092,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
6242,EASTFORD,CT,PRIMARY,773,1360,34542738,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
56576,RICHVILLE,MN,PRIMARY,428,764,9247938,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
5340,BONDVILLE,VT,PRIMARY,436,720,14859739,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
98241,DARRINGTON,WA,PRIMARY,1041,1835,33476575,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
95164,SAN JOSE,CA,PRIMARY,577,819,29710183,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
71222,BERNICE,LA,PRIMARY,1298,2432,35843765,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
33126,MIAMI,FL,PRIMARY,22630,36254,540253154,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
55118,SAINT PAUL,MN,PRIMARY,14389,23819,672233974,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
28376,RAEFORD,NC,PRIMARY,14162,27467,456241205,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
7751,MORGANVILLE,NJ,PRIMARY,9056,18058,854320255,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
96821,HONOLULU,HI,PRIMARY,9986,16918,585034532,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
92502,RIVERSIDE,CA,PRIMARY,468,714,16543594,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
73086,SULPHUR,OK,PRIMARY,3309,6006,97286402,2017-01-01 12:00:00+00:00,2017-01-01 12:00:00+00:00
